(risk-pair risk_pair_arg1 risk_pair_arg2),0.6956,(company X10000),(government X10001),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E105 S-3),(が-md-ex E11 X10000),(する-ev E212),(なる-ev E251),(に-md-ex E117 x109),(を-md-ex E105 x104),(人-nn X10000),(伝える-ev E108),(価格-nn x157),(感謝-ev E205),(検討-ev E47),(落札-ev E208),(連絡-ev E174),(願う-ev E21),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.5956,(company X10000),(competitor_rel X10000 X10001),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E100 S-2),(が-md-ex E100 x99),(する-ev E94),(なる-ev E117),(に-md-ex E117 x82),(を-md-ex E161 x160),(人-nn X10000),(価格-nn x16),(値上げ-ev E17),(値上げ-nn x153),(弊社-nn x86),(提案-ev E125),(改定-ev E21),(検討-ev E159),(考える-ev E106),(調整-ev E32),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.6956,(company X10000),(government X10002),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E10 S-1),(が-md-ex E118 X10000),(する-ev E141),(なる-ev E56),(に-md-ex E105 x5),(を-md-ex E126 x158),(予算-nn x22),(人-nn X10000),(任せる-ev E67),(受注-nn x3),(教える-ev E26),(私-nn x66),(考える-ev E8),(連絡-ev E142),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.7,(company X10001),(competitor_rel X10001 X10002),(government X10000),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E102 S-1),(が-md-ex E107 x36),(する-ev E61),(なる-ev E164),(に-md-ex E107 x52),(を-md-ex E111 x66),(ファイル-nn x64),(了承-ev E304),(予算-nn x69),(人-nn X10000),(価格-nn x146),(入札-ev E56),(入札-nn x145),(弊社-nn x196),(感謝-ev E307),(承知-ev E144),(準備-ev E149),(結ぶ-ev E33),(調整-ev E245),(連絡-ev E166),(進める-ev E205),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.7,(company X10001),(government X10000),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E10 S-1),(が-md-ex E10 x62),(する-ev E27),(ない-smd E168),(なる-ev E125),(に-md-ex E125 x84),(を-md-ex E109 x108),(人-nn X10000),(受注-ev E297),(希望-ev E109),(承知-ev E101),(決める-ev E17),(率-nn x50),(私-nn x90),(考える-ev E51),(落札-nn x49),(調整-ev E118),(連絡-ev E249),(ＦＡＸ-nn x274),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.7,(company X10001),(government X10000),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E12 S-1),(が-md-ex E16 x10),(に-md-ex E16 x15),(を-md-ex E12 x11),(メモ-nn x7),(了解-ev E45),(人-nn X10000),(入札-ev E3),(入札-nn x3),(金額-nn x10),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.7,(company X10000),(competitor_rel X10000 X10001),(government X10002),(mail_address_receiver X10000 S-3),(mail_address_sender X10000 S-1),(mailid E102 S-2),(が-md-ex E102 x104),(なる-ev E180),(に-md-ex E111 x99),(を-md-ex E14 x13),(人-nn X10000),(価格-nn x154),(入札-ev E252),(入札-nn x292),(制限-ev E247),(参加-ev E328),(弊社-nn x32),(情報-nn x288),(業者-nn x254),(私-nn x104),(考える-ev E43),(落札-ev E42),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.7,(company X10000),(government X10002),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E10 S-1),(が-md-ex E10 x40),(する-ev E116),(なる-ev E224),(に-md-ex E108 x107),(を-md-ex E116 x111),(了解-ev E140),(人-nn X10000),(価格-nn x204),(入札-ev E17),(入札-nn x177),(参加-ev E61),(報告-ev E36),(弊社-nn x189),(情報-nn x107),(業者-nn x69),(考える-ev E24),(落札-nn x205),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.6956,(company X10000),(government X10001),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E101 S-3),(が-md-ex E103 x102),(に-md-ex E89 x67),(を-md-ex E101 X100),(人-nn X10000),(伝える-ev E89),(調整-ev E102),(調整-nn x102),(金額-nn x19),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
(risk-pair risk_pair_arg1 risk_pair_arg2),0.5976,(company X10000),(competitor_rel X10000 X10001),(mail_address_receiver X10000 S-2),(mail_address_sender X10000 S-1),(mailid E101 S-1),(が-md-ex E117 X10001),(なる-ev E136),(に-md-ex E136 x111),(を-md-ex E120 x119),(人-nn X10000),(価格-nn x40),(値上げ-ev E119),(値上げ-nn x119),(弊社-nn x118),(承知-ev E263),(揃える-ev E57),(検討-ev E120),(添付-ev E66),(相談-ev E144),(調整-ev E348),(連絡-ev E96),(進める-ev E128),(金額-nn x125),NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL,NOT_A_LITERAL
